English,Korean
you,너
I or I.,나 또는 I.
to,에게
the,그만큼
a or A.,A 또는 A.
and,그리고
that,저것
it,그것
of,의
me,나
what,무엇
is,~이다
in,안에
this,이것
know,알다 
I'm,나는
for,~을 위한
no,아니요
have,가지다
my,나의
don't,~하지 않다
just,단지
not,~ 아니다
do,하다
be,~이다
on,~에
your,당신의
was,~였다
we,우리
it's,이것의
with,~와 함께
so,그래서
but,하지만
all,모두
well,잘
are,~이다
he,그
oh,오
about,~에 대한
right,오른쪽
you're,당신은
get,가져 오기
here,여기
out,밖으로
going,가고 있다
like,처럼
yeah,응
if,만약에
her,그녀의
she,그녀
can,~할 수 있다
up,위로
want,원하다
think,생각한다
that's,그게
now,지금
go,가다
him,그를
at,~에
how,어떻게
got,갖다
there,거기
one,하나
did,했다
why,왜
see,보다
come,오다
good,좋은
they,그들
really,진짜
as,~처럼
would,~일 것이다
look,바라보다
when,언제
time,시각
will,~ 할 것이다
okay,좋아요
back,뒤
can't,캔트
mean,평균
tell,말하다
I'll,아픈
from,~에서
hey,야
were,~이었다
he's,그는
could,~할 수 있었다
didn't,그렇지 않았다
yes,예
his,그의
been,계속 ~ 이다
or,또는
something,무엇
who,누구
because,왜냐하면
some,약간
had,가졌다
then,그 다음에
say,말하다
ok,좋아요
take,가져가다
an,an
way,방법
us,우리를
little,작은
make,만들다
need,필요
gonna,할거야
never,절대
we're,이었다
too,~도
love,사랑
she's,그녀는
I've,나는
sure,확실한
them,그들을
more,더
over,~ 위에
our,우리의
sorry,죄송합니다
where,어디
what's,뭐야
let,허락하다
thing,물건
am,~이다
maybe,아마도
down,아래에
man,남성
has,가지다
uh,음
very,매우
by,~에 의해
there's,거기 있습니다
should,~해야 한다
anything,아무것
said,말했다
much,많이
any,어느
life,삶
even,조차
off,끄다
please,제발
doing,행위
thank,감사하다
give,주다
only,뿐
thought,생각
help,돕다
two,둘
talk,말하다
people,사람들
god,하느님
still,아직
wait,기다리다
into,~ 안으로
find,찾기
nothing,아무것도 아님
again,다시
things,것들
let's,하자
doesn't,그렇지 않습니다
call,전화
told,말했다
great,엄청난
before,~ 전에
better,더 나은
ever,항상
night,밤
than,~보다
away,떨어져 있는
first,첫 번째
believe,믿다
other,다른
feel,느끼다
everything,모든 것
work,일하다
you've,당신은
fine,좋아
home,집
after,~ 후에
last,마지막
these,이것들
day,낮
keep,유지하다
does,하다
put,놓다
around,주위에
stop,멈추다
they're,그것들입니다
I'd,ID
guy,남자
long,긴
isn't,그렇지 않습니다
always,언제나
listen,듣다
wanted,원해
Mr.,씨.
guys,얘들아
huh,뭐
those,저것들
big,큰
lot,많은
happened,일어난
thanks,감사해요
won't,습관
trying,견딜 수 없는
kind,친절한
wrong,잘못된
through,~을 통해
talking,말하는
made,만들어진
new,새로운
being,존재
guess,추측
hi,안녕
care,케어
bad,나쁜
mom,엄마
remember,기억하다
getting,구하는
we'll,잘
together,함께
dad,아빠
leave,떠나다
mother,어머니
place,장소
understand,이해하다
wouldn't,그렇지 않을 것입니다
actually,실제로
hear,듣다
baby,아기
nice,멋진
father,아버지
else,또 다른
stay,머무르다
done,완료
wasn't,그렇지 않았습니다
their,그들의
course,강의
might,~할 것 같다
mind,정신
every,모든
enough,충분한
try,노력하다
hell,지옥
came,왔다
someone,누구
you'll,당신은
own,소유하다
family,가족
whole,전부의
another,또 다른
house or House,집이나 집
Jack or jack,잭 또는 잭
yourself,당신 자신
idea,아이디어
ask,물어보기
best,베스트
must,~ 해야 하다
coming,오는
old,낡은
looking,보고있다
woman,여성
hello,안녕하세요
which,어느
years,연령
room,방
money,돈
left,왼쪽
knew,알고 있었다
tonight,오늘 밤
real,진짜
son,아들
hope,희망
name,이름
same,같은
went,갔다
um,음
hmm,흠
happy,행복하다
pretty,예쁜
saw,봤다
girl,여자
sir,선생님
show,보여 주다
friend,친구
already,이미
saying,속담
may or May,5 월 또는 5 월
next,다음
three,삼
job,직업
problem,문제
minute,분
found,설립하다
world,세계
thinking,생각
haven't,하지 않았다
heard,들었다
honey,꿀
matter,문제
myself,내 자신
couldn't,할 수 없었습니다
exactly,바로 그거죠
having,was
ah,아
probably,아마
happen,일어나다
we've,우리는
hurt,아프다
boy,소년
both,둘 다
while,동안
dead,죽은
gotta,gotta
alone,홀로
since,~부터
excuse,변명
start,시작
kill,죽이다
hard,딱딱한
you'd,당신은
today,오늘
car,자동차
ready,준비가 된
until,~까지
without,없이
whatever,무엇이든
wants,원한다
hold,잡고 있다
wanna,원해
yet,아직
seen,본다
deal,거래
took,가지고 갔다
once,한 번
gone,다 쓴
called,~라고 불리는
morning,아침
supposed,추정된
friends,친구들
head,머리
stuff,물건
most,대부분
used,사용된
worry,걱정하다
second,초
part,부분
live,라이브
truth,진실
school,학교
face,얼굴
forget,잊다
TRUE,진실
business,사업
each,각
cause,원인
soon,곧
knows,알고 있습니다
few,약간의
telling,말함
wife,부인
who's,누가
use,사용
chance,가능성
run,운영
move,이동하다
anyone,누구나
person,사람
bye,안녕
J.,제이.
somebody,어떤 사람
Dr. or dr.,Dr. 또는 Dr.
heart,마음
such,그런
miss,놓치다
married,기혼
point,가리키다
later,나중에
making,만들기
meet,만나다
anyway,그래도
many,많은
phone,핸드폰
reason,이유
damn,젠장
lost,잃어버린
looks,외모
bring,가져오다
case,사례
turn,회전하다
wish,소망
tomorrow,내일
kids,어린이
trust,신뢰하다
check,확인하다
change,변화
end,끝
late,늦은
anymore,더 이상
five,다섯
least,최소
town,도시
aren't,그렇지 않습니다
ha,하아
working,일하고 있는
year,년도
makes,만든다
taking,취득
means,수단
brother,형제
play,플레이
hate,싫어하다
ago,~ 전에
says,말한다
beautiful,아름다운
gave,주었다
fact,사실
crazy,미친
party,파티
sit,앉다
open,열려 있는
afraid,두려워하는
between,~ 사이
important,중요한
rest,쉬다
fun,재미있는
kid,어린이
word,단어
watch,보다
glad,기쁜
everyone,여러분
days,날
sister,자매
minutes,분
everybody,여러분
bit,조금
couple,커플
whoa,우와
either,어느 하나
Mrs.,부인.
feeling,감정
daughter,딸
wow,와
gets,얻는다
asked,물었다
under,아래에
break,부서지다
promise,약속하다
door,문
set,세트
close,닫다
hand,손
easy,쉬운
question,의문
doctor,의사
tried,시험을 마친
far,멀리
walk,걷다
needs,필요합니다
trouble,문제
mine,나의 것
though,그렇지만
times,타임스
different,다른
killed,살해
hospital,병원
anybody,아무도
Sam or SAM,샘 또는 샘
alright,괜찮은
wedding,혼례
shut,닫다
able,할 수 있는
die,주사위
perfect,완벽한
police,경찰
stand,서다
comes,온다
hit,때리다
story,이야기
ya,당신
mm,mm
waiting,대기 중
dinner,저녁
against,에 맞서
funny,재미있는
husband,남편
almost,거의
stupid,멍청한
pay,지불
answer,대답
four,네
office,사무실
cool,시원한
eyes,눈
news,소식
child,어린이
shouldn't,그렇지 않아야합니다
half,반
side,옆
yours,당신 것
moment,순간
sleep,잠
read,읽다
where's,어디있어
started,시작
young,어린
men,남자들
sounds,소리
sonny or Sonny,Sonny 또는 Sonny
lucky,운이 좋은
pick,선택하다
sometimes,때때로
em,여자 이름
bed,침대
also,또한
date,데이트
line,선
plan,계획
hours,시간
lose,잃다
fire,불
free,무료
hands,소유
serious,심각한
Leo,사자 별자리
shit,똥
behind,뒤에
inside,내부에
high,높은
ahead,앞으로
week,주
wonderful,아주 멋진
T.,티.
fight,싸움
past,과거
cut,자르다
quite,상당히
number,숫자
he'll,지옥
sick,아픈
S.,에스.
it'll,그것은 할 것이다
game,게임
eat,먹다
nobody,아무도
goes,간다
death,죽음
along,~을 따라
save,저장
seems,보인다
finally,마지막으로
lives,살아
worried,걱정하는
upset,속상한
Theresa,거기에
Carly,칼리
Ethan,에단
met,만났다
book,책
brought,가져왔다
seem,~인 것 같다
sort,종류
safe,안전한
living,생활
children,어린이들
weren't,그렇지 않았습니다
leaving,퇴거
front,앞쪽
shot,발사
loved,사랑
asking,질문
running,달리기
clear,분명한
figure,수치
hot,더운
felt,느꼈다
six,여섯
parents,부모님
drink,마시다
absolutely,물론
how's,어때
daddy,아빠
sweet,달콤한
alive,살아 있는
Paul,폴
sense,감각
meant,의미했다 
happens,발생합니다
David,데이비드
special,특별한
bet,내기
blood,피
ain't,그렇지 않습니다
kidding,농담
lie,거짓말하다
full,가득한
meeting,회의
dear,~에게
coffee,커피
seeing,봄
sound,소리
fault,잘못
water,물
fuck,못쓰게 만들다
ten,십
women,여성
John or john,존 또는 요한
welcome,환영하다
buy,구입
months,달
hour,시
speak,말하다
lady,숙녀
Jen,젠
thinks,생각합니다
Christmas,크리스마스
body,신체
order,주문하다
outside,밖의
hang,매달다
possible,가능한
worse,더 나쁜
company,회사
mistake,실수
ooh,오
handle,핸들
spend,경비
C.,씨.
totally,완전히
giving,기부
control,제어
here's,여기에 있습니다
marriage,결혼
realize,깨닫다
D.,디.
power,힘
president,대통령
unless,~하지 않는 한
sex,섹스
girls,여자
send,보내다
needed,필요합니다
O. or o,O. 또는 o
taken,촬영
died,사망 한
scared,무서운
picture,그림
talked,이야기했다
Jake,제이크
Al,알
ass,나귀
hundred,백
changed,변경
completely,완전히
explain,설명
playing,놀이
certainly,틀림없이
sign,징후
boys,소년들
relationship,관계
Michael,남자 이름
loves,사랑
fucking,빌어 먹을
hair,머리카락
lying,거짓말하는
choice,선택
anywhere,어딘가에
secret,비밀
future,미래
weird,기이한
luck,운
she'll,껍데기
Max or max.,맥스 또는 맥스.
Luis,루이스
turned,돌린
known,모두 다 아는
touch,접촉
kiss,키스
Crane or crane,크레인 또는 크레인
questions,질문
obviously,확실히
wonder,궁금하다
pain,통증
calling,부름
somewhere,어딘가에
throw,던지다
straight,똑바로
Grace or grace,은혜 나 은혜
cold,추운
white or White,흰색 또는 흰색
fast,빠른
Natalie,나탈리
words,단어
R.,아르 자형.
food,음식
none,없음
drive,운전하다
feelings,감정
they'll,그들은 할 것이다
worked,일했다
marry,결혼하다
light,빛
test,테스트
drop,하락
cannot,할 수 없습니다
Frank,솔직한
sent,전송된
city,도시
dream,꿈
protect,보호하다
twenty,이십
class,수업
Lucy,루시
surprise,놀라다
its,그것의
sweetheart,여보
forever,영원히
poor,가난한
looked,보였다
mad,미친
except,제외하고
gun,총
y'know,알았어
dance,춤
takes,테이크
appreciate,고마워하다
especially,특히
situation,상황
besides,뿐만 아니라
weeks,주
pull,당기다
himself,그 자신
hasn't,그렇지 않았습니다
act,행동
worth,가치
Sheridan,셰리 던
amazing,놀라운
top,맨 위
given,주어진
expect,예상하다
Ben,벤
rather,꽤
Julian,줄리안
involved,관련된
swear,욕을 하다
piece,조각
busy,바쁘다
law,법
decided,결정했다
black or Black,검은 색 또는 검은 색
Joey,조이
happening,사고
movie,영화
we'd,우리는
catch,잡다
Antonio,안토니오
country,국가
less,더 적은
perhaps,아마도
step,단계
fall,떨어지다
watching,보고있다
kept,유지된
darling,여보
dog,개
Ms.,미사
win,이기다
air,공기
honor,명예
personal,개인의
moving,움직이는
till,까지
admit,인정하다
problems,문제
murder,살인
strong,강한
he'd,그는
evil,사악한
definitely,분명히
feels,느낌
information,정보
honest,솔직한
eye,눈
broke,파산
missed,놓쳤다
longer,더 길게
dollars,불화
tired,피곤한
Jason,제이슨
George,성 조지
evening,저녁
human,인간
starting,시작
Ross,로스
red,빨간색
entire,전체
trip,여행
Brooke,브룩
E.,이자형.
club,클럽
Niles,나일 즈
suppose,가정하다
calm,침착한
imagine,상상하다
Todd,토드
fair,공정한
caught,잡았다
B.,비.
blame,탓하다
street,거리
sitting,좌석
favor,호의
apartment,아파트
court,법원
terrible,끔찍한
clean,깨끗한
Tony or tony,토니 또는 토니
learn,배우다
Alison,앨리슨
Rick,약간 뒤틀리게 하다
works,공장
Rose or rose,장미 또는 장미
Frasier,프레이저
relax,안심하다
York,요크
million,백만
charity,자선 단체
accident,사고
wake,일어나 다
prove,입증하다
Danny,대니
smart,똑똑한
message,메시지
missing,잃어버린
forgot,잊어버렸다
small,작은
interested,관심 있는
table,테이블
nbsp,NBSP
become,~이 되다
Craig,크레이그
mouth,입
pregnant,임신한
middle,가운데
Billy or billy,빌리 또는 빌리
ring,반지
careful,주의 깊은
shall,~일 것이다
dude,녀석
team,팀
ride,타다
figured,문채 있는
wear,입다
shoot,사격
stick,막대
Ray or ray,레이 또는 레이
follow,따르다
Bo,악
angry,화난
instead,대신에
buddy,친구
write,쓰다
stopped,멈췄다
early,일찍
Angel or angel,천사 또는 천사
Nick or nick,닉 또는 닉
ran,달렸다
war,전쟁
standing,서 있는
forgive,용서하다
jail,교도소
wearing,착용
Miguel,미겔
ladies,숙녀
kinda,좀
lunch,점심
Cristian,크리스티안
eight,여덟
Greenlee,그린리
gotten,얻었다
hoping,바라고
Phoebe,페베
thousand,천
ridge,산등성이
music,음악
Luke,루크
paper,종이
tough,힘든
tape,줄자
Emily,에밀리
state,상태
count,세다
college,대학
boyfriend,남자 친구
proud,자랑스러운
agree,동의하다
birthday,생신
bill,계산서
seven,일곱
they've,그들은
Timmy,티미
history,역사
share,공유하다
offer,권하다
hurry,서두르다
ow,"오,"
feet,피트
wondering,궁금합니다
simple,단순한
decision,결정
building,건물
ones,하나
finish,마치다
voice,목소리
herself,그녀 자신
Chris,크리스
would've,아마
list,목록
Kay,케이
mess,엉망
deserve,~ 받을 만하다
evidence,증거
cute,귀엽다
Jerry,실내 변기
dress,드레스
Richard,리차드
interesting,흥미로운
Jesus,예수
James,제임스
hotel,호텔
enjoy,즐겨
Ryan,라이언
Lindsay,린제이
quiet,조용한
concerned,관심 있는
road,도로
Eve or eve,이브 또는 이브
staying,체재
short,짧은
M.,중.
beat,이기다
sweetie,사탕
mention,언급하다
clothes,옷
finished,완성된
fell,쓰러뜨리다
neither,어느 것도 아니다
mmm,음
fix,고치다
Victor or victor,빅터 또는 빅터
respect,존경
spent,지출
prison,감옥
attention,주목
holding,보유
calls,전화
near,가까운
surprised,놀란
bar,술집
Beth,베스
pass,통과하다
keeping,유지
gift,선물
hadn't,그렇지 않았다
putting,퍼팅
dark,어두운
self,본인
owe,빚지다
using,사용
Nora,노라
ice,빙
helping,거들기
bitch,암캐
normal,정상
aunt,이모
lawyer,변호사
apart,따로
certain,확실한
plans,계획
Jax,Jax
girlfriend,여자 친구
floor,바닥
whether,~이든
everything's,모든 것
present,현재
earth,지구
private,사적인
Jessica,제시카
box,상자
Dawson,도슨
cover,씌우다
judge,판사
upstairs,높은 곳에 있는
Alexis,알렉시스
Shawn,숀
sake,사케
mommy,엄마
possibly,혹시
worst,가장 나쁜